,Company Name,Job Title,location,Job URL,Date
0,Lidl España,Estudiante en Prácticas Dpto. Analytics,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/estudiante-en-pr%C3%A1cticas-dpto-analytics-at-lidl-espa%C3%B1a-3935928546?position=1&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=bdpPcWAknIRBNydxauDnkQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-27
1,AGBAR,Ingeniero/a Datos (Recién Graduado/a),"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/ingeniero-a-datos-reci%C3%A9n-graduado-a-at-agbar-3927615443?position=2&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=rPar7DJg6Nz%2F37Nn6ujuSQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-25
2,Werfen,Data & Analytics Trainee,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-analytics-trainee-at-werfen-3942057392?position=3&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=ufZkBajMqg2sV63zR5iD6g%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-04
3,MAPFRE,Beca en Soluciones Tecnológicas,"Moncloa-Aravaca, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/beca-en-soluciones-tecnol%C3%B3gicas-at-mapfre-3935067856?position=4&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=%2FR1ewq6tKF3dcBS53sOMeQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-31
4,haddock (YC W22),We are looking for talent! 🚀,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/we-are-looking-for-talent%21-%F0%9F%9A%80-at-haddock-yc-w22-3943748990?position=5&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=McUZS2%2Bq3r%2FgLgOwS%2FH3SA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-05
5,Eurofragance SLU,Data Analyst Trainee,"Sant Cugat del Vallès, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-analyst-trainee-at-eurofragance-slu-3883889072?position=6&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=UJhOsMTDyIxN0Ywo7EJ%2Fpg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-05
6,Clarivate,Bioinformatics Associate - Internship,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/bioinformatics-associate-internship-at-clarivate-3937729452?position=7&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=Xd8drEjVKSzjXS%2Bqlg1r3w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-30
7,Novartis España,Data Science trainee,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-science-trainee-at-novartis-espa%C3%B1a-3912541225?position=8&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=nxBXO0U9xMddmuQDU3CufA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-27
8,Molins,INTERNSHIP IN ARTIFICIAL INTELLIGENCE,"Sant Vicenç dels Horts, Catalonia, Spain",https://es.linkedin.com/jobs/view/internship-in-artificial-intelligence-at-molins-3911836171?position=9&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=zc72ANE5SqpRYbR1XlA8hg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-29
9,AstraZeneca,Internship - Data Science / Insights and Analytics,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/internship-data-science-insights-and-analytics-at-astrazeneca-3941963394?position=10&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=DPaVrF%2F61voHvumOfrqafQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-04
10,Northius,Beca Data Scientists (H/M),Spain,https://es.linkedin.com/jobs/view/beca-data-scientists-h-m-at-northius-3936202258?position=11&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=xhjwWankQDEpfMNT7M%2Fnqw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-27
